1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31 (Birthday);Day August
300;450;180;380;244;476;528;305;515;393;390;420;400;347;415;600;456;358;414;510;396;420;529.2;439;420;384;210;277.2;274;390;529.2;Sleep
5;8;8;10;9;6;7;7;1;8;5;8;7;8;9;9;2;9;9;8;8;8;7;10;9;10;9;8;10;7;8;18+Piss
1;2;1;1;1;1;1;1;7;1;1;1;2;1;1;1;0;2;2;1;1;1;1;1;1;0;1;1;1;1;1;18+Poop
83;58;0;0;0;0;0;470;0;0;35;0;0;0;0;0;0;55;0;0;10;0;0;0;0;3;0;5;0;43;0;WashingSeconds
0;1;2;1;1;1;1;1;1;1;5;1;5;1;1;1;0;1;1;2;1;1;1;1;1;1;0;1;1;6;6;WashingTeethSeconds
6;7;7;10;8;5;5;6;7;6;1;7;2;7;7;6;2;9;7;9;6;7;5;7;8;7;8;8;9;1;1;WashingHandsFaceSeconds
302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DailyDozen
300;1200;1200;600;600;300;300;0;900;900;900;300;600;600;600;600;300;840;900;1200;600;420;300;300;300;0;0;230;300;300;95;Tea
60;60;120;120;120;60;120;120;350;100;60;60;60;0;0;0;0;10;0;30;0;0;0;0;0;100;25;30;25;95;150;Coffee
2430;940;1600;2590;2120;1360;1300;2300;900;1290;1160;2490;2080;2330;3140;2030;1840;1750;2100;1640;1810;1540;1480;2230;2980;2850;3110;2870;1860;2430;2030;Water
1200;2400;3100;3200;5800;1600;1600;3900;6700;5000;800;2100;3200;1650;4500;5100;2600;4200;2700;3700;2700;2600;4900;4600;1500;800;4400;5200;3000;8000;3300;SavedWaterMililiters(minimization because of counting)
0;2;1;0;1;2;1;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;2;0;0;1;1;1;0;0;1;18+Intimacy(Not a protein)
3;3;3;2;5;5;4;4;5;3;7;5;3;1;0;1;3;3;4;2;3;3;6;3;3;2;3;3;3;3;3;+-Disciplines
4;6;8;4;9;2;5;12;3;5;15;7;3;4;4;0;5;10;4;2;8;7;5;6;17;53;9;12;18;11;9;MinorTargetReached
29;41;36;61;590;41;39;91;26;28;63;51;27;21;197;127;43;262;120;15;96;53;79;112;205;659;364;62;286;119;130;MinorTaskReached
1;1;0;0;2;0;0;0;0;1;1;0;0;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Idea
1;2;2;1;0;0;1;0;2;5;2;1;0;0;3;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;Writing
1;0;2;1;1;1.14;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Picture
63;63;63.6;64.4;64.4;800;50;390;13;330;0;1000;0;0;0;1;1;0;1;1.24;0;1.005;2;0;0;14;5;0;0;0;0;Smoke 
115;109;112;118;122;63;63.3;63.3;0;62.6;63.4;63.1;62.6;63.2;63.6;290;700;300;150;200;0;0;0;0;0;0;0;0;0;0;0;Alchohol
72;66;62;72;75;117;110;124;62.6;109;138;121;106;116;108;63.5;64.4;63.8;63.9;64.8;64.8;64.8;64.8;65.3;64.7;65.1;65;64.1;64.2;64.2;64.2;Weight
61;70;54;59;62;70;59;63;104;73;84;88;85;74;78;105;132;118;114;123;131;123;114;115;118;113;125;117;114;115;108;Dia
10900;0;200;0;9100;54;72;81;62;56;84;61;117;66;65;80;74;71;61;82;84;74;70;75;70;73;82;70;78;67;65;Sys(before sleep)
164;0;15;0;0;5800;0;6800;78;0;2400;500;0;0;0;75;61;69;53;57;69;65;51;62;61;61;67;71;64;75;55;Pulse(before sleep)
0;0;0;0;0;116;0;265;0;274;0;206;0;0;0;0;0;10500;0;0;0;0;0;2500;0;0;0;3100;0;2100;0;Running
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;220;0;0;120;0;0;330;542;0;0;0;0;0;0;0;SpendMoneyRubbles
75;20;30;0;40;1;2;1;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;2000;EarnMoneyRubbles
92;0;35;0;51;0;0;0;0;0;0;3;0;0;0;0;0;1;1;3;1;1;0;0;0;0;1;1;0;1;1;CleanDishes(dishwashing machine 40litres)
0;0;0;0;0;0;0;0;0;8.3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;CleanWashing(Clothes Washing machine)
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.2;7.28;0;0;0;6.5;0;5.7;0;0;0;0;0;0;0;Watch
0;0;15;0;52;0;0;0;0;0;0;10;15;30;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Games
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;35;9;1;5;3;3;8;5;0;0;0;0;0;0;0;+-
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;5;Apple(gramms 1.2)
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Banan
0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;8;3;1;0;0;0;0;0;0;0;0;Nuts
5;5;10;9;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;Walnut
0;50;500;150;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;Pear
35;15;65;100;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Watermellon 
0;5;5;20;23;0;15;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Qiwi
0;0;0;0;0;0;0;0;25;10;0;25;13;45;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Orange
0;0;0;0;0;0;150;0;200;0;0;0;0;200;200;65;60;62;40;45;0;0;0;0;0;0;0;0;0;0;0;Apricots
51;0;10;120;98;0;0;5;55;120;0;120;3;5;25;0;150;50;50;65;34;35;15;45;8;20;20;0;0;0;0;Plum
0;55;0;0;0;0;0;0;40;0;0;0;0;10;30;30;65;15;95;105;230;0;0;10;0;0;0;0;0;0;0;ConMilk
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;10;0;0;0;89;145;55;0;45;0;15;24;7;9;10;Butter
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;25;0;0;35;210;210;0;0;0;0;Milk
0;0;0;55;31;0;0;500;0;55;0;50;30;55;35;0;0;0;0;0;5;0;180;0;0;40;65;35;45;30;15;Cheese
0;35;0;0;0;0;0;0;110;0;0;40;0;0;0;55;0;0;70;55;0;0;0;0;0;0;0;0;65;0;0;Cottage cheese
0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;50;5;0;0;0;0;55;6;15;5;Cream
0;5;55;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;75;0;0;0;0;0;0;0;0;Ice cream
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;65;0;0;0;Youghurt
0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;Chicken 
0;0;0;0;0;0;0;0;120;120;0;115;110;95;85;0;0;0;0;0;0;45;5;0;0;0;0;0;0;0;0;Pork
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;0;120;115;0;0;0;0;0;0;0;0;0;0;45;0;Beaf
0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;110;65;0;0;0;0;15;Fish
56;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sausage
0;90;120;240;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;155;45;0;0;Shrimp
0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;95;165;Egg
0;0;75;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Strawberry
0;0;0;0;0;0;500;120;55;0;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Raspberry
0;0;0;0;0;0;120;0;140;450;0;255;95;375;50;185;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RedCurrant
0;0;0;0;0;0;0;0;0;0;0;0;0;145;95;210;345;280;230;255;0;0;0;370;0;0;0;0;0;0;0;BlackCurrant
0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;30;75;0;195;250;200;0;0;95;0;0;0;55;0;0;0;Jam
2;0;75;90;88;0;0;0;0;0;0;0;0;0;0;0;105;0;0;0;305;405;195;0;45;0;0;0;125;0;65;Rice
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;Millet
0;0;5;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;75;0;0;0;Potato
0;0;35;10;27;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;65;55;205;Flour
3;0;0;0;0;0;0;0;65;125;0;65;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Oatmeal
0;0;0;0;5;0;5;10;0;0;0;0;0;165;55;0;0;0;0;0;0;45;0;0;0;0;35;60;0;0;0;Crisp
0;0;0;5;2;0;30;0;5;5;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;95;SunSeeds
0;0;0;5;0;0;0;0;0;0;0;0;0;13;0;55;135;35;150;145;0;0;0;0;65;0;0;0;0;0;0;Popcorn
0;0;15;10;1;0;9;2;0;0;0;0;0;0;0;35;0;0;0;0;155;160;90;0;0;0;0;0;0;0;0;Corn
0;0;0;0;150;0;1;0;95;0;0;0;0;0;0;0;5;0;5;6;0;0;0;0;105;0;0;0;0;0;0;Champignion
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;15;0;0;0;8;5;3;0;0;0;0;0;7;0;5;Squash
0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;25;0;0;0;Cabbage
0;0;0;0;0;100;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;85;45;Tomato
0;0;0;0;0;700;900;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;5;10;5;Chilli
3;10;0;0;0;0;0;0;0;330;0;1000;0;0;0;0;0;0;0;2;0;0;0;0;0;45;0;3;0;0;0;Eggplant
0;2;10;23;19;0;0;0;0;0;0;0;0;0;0;2;15;0;2;0;0;0;0;0;0;0;0;0;12;0;20;Cucumber
0;1;5;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;3;0;0;0;0;0;0;0;0;0;0;Avocado
0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;700;300;0;0;0;0;0;0;0;0;0;0;9;25;10;SweetPepper
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3;5;Onion
0;0;0;0;0;0;7;5;0;15;0;0;15;0;0;0;0;0;30;200;0;0;0;0;0;0;0;0;0;0;0;Garlic
0;0;0;0;0;0;3;2;15;15;0;6;8;31;34;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;Leaf
0;0;0;0;0;0;0;1;12;0;0;2;2;17;24;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;5;Dill
0;0;0;0;0;0;0;0;3;55;0;35;10;2;2;1;66;76;40;45;0;0;0;0;0;0;0;0;0;0;0;Ginger
0;0;0;0;0;0;0;0;30;0;0;0;0;8;0;26;20;35;13;19;25;15;16;35;0;0;0;0;0;0;0;Pursley
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;2;2;0;2;12;10;5;10;14;0;0;0;0;0;0;Wine
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;2;7;3;2;2;0;3;0;0;0;0;0;0;Beer
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;Vodka
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;14;0;0;0;Gin
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;6;0;0;0;Kwass
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;Vinegar
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;14;21;25;Sugar
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;10;12;Salt
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;2;1;Pepper
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;Honey
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;5;Chocolate
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;Sauce
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;2;Lemon
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+-
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Pill
